"Year","Gross","Net","Conventional.Accounting","Economic.Sector","Sector","Category","Sub.Category.1","Sub.Category.2","Sub.Category.3","Gas","MT.CO2e.AR5.20.yr","MT.CO2e.AR4.100.yr","Average_Fahrenheit_Temperature"
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Wood","N2O",42381,42541,53.4
1990,"Yes","No","No","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Wood","Biogenic CO2",3923469,3923469,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Coal","CO2",521347,521347,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Coal","CH4",4811,1604,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Coal","N2O",2268,2277,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Distillate Fuel","CO2",6640643,6640643,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Distillate Fuel","CH4",79577,26526,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Distillate Fuel","N2O",15006,15063,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Kerosene","CO2",111610,111610,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Kerosene","CH4",1352,451,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","Kerosene","N2O",255,256,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","LPG","CO2",256187,256187,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","LPG","CH4",1805,602,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Commercial","Not Applicable","LPG","N2O",113,114,53.4
